Keyword Stats 2025-07-29 at 13_55_51
"July 1, 2024 - June 30, 2025"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Jul 2024	Searches: Aug 2024	Searches: Sep 2024	Searches: Oct 2024	Searches: Nov 2024	Searches: Dec 2024	Searches: Jan 2025	Searches: Feb 2025	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025
consórcio imóvel	BRL	50	0%	0%	High	85	6.89	19.90																	
consórcio casa	BRL	50	0%	0%	High	84	4.27	14.93																	
embracon	BRL	5000	0%	0%	Medium	39	2.13	13.78																	
consórcio terreno	BRL	50	0%	0%	High	93	2.05	10.39																	
consorcio imobiliario	BRL	50	900%	0%	High	85	6.26	23.25																	
consorcio de imoveis	BRL	50	0%	0%	High	85	4.21	14.37																	
consorcio imovel	BRL	50	0%	0%	High	85	6.89	19.90																	
consórcio de imóveis	BRL	50	0%	0%	High	85	4.21	14.37																	
consorcio imoveis	BRL	50	0%	0%	High	85	6.89	19.90																	
consorcio de imovel	BRL	50	0%	0%	High	75	6.86	24.09																	
consórcio embracon	BRL	500	0%	0%	Medium	58	1.98	14.02																	
consorcio casa	BRL	50	0%	0%	High	84	4.27	14.93																	
consorcio apartamento	BRL	50	0%	0%	High	86	2.98	15.65																	
consorcio de casa	BRL	50	0%	0%	High	92	4.54	13.11																	
embracon consórcio	BRL	500	0%	0%	Medium	58	1.98	14.02																	
porto seguro consorcio imovel	BRL	50	0%	0%	High	81	2.78	8.57																	
consórcio de casa	BRL	50	0%	0%	High	89	3.27	12.69																	
consorcio de casas	BRL	50	0%	0%	High	92	4.54	13.11																	
consórcio imobiliário simulação	BRL	50	0%	0%	High	96	4.93	13.65																	
consórcio porto seguro imóvel	BRL	50	0%	0%	High	81	2.78	8.57																	
consorcio residencial	BRL	50	0%	0%	High	81	7.61	41.62																	
consórcio de apartamento	BRL	50	0%	0%	High	83	4.93	12.81																	
carta de credito imovel	BRL	50	0%	0%	High	91	4.40	12.06																	
carta de crédito contemplada imóvel	BRL	50	0%	0%	High	67	1.64	5.12																	
simular consorcio imovel	BRL	50	0%	0%	High	89	5.15	14.20																	
melhores consorcios imoveis	BRL	50	0%	0%	High	96	6.00	16.13																	
melhor consorcio de imovel	BRL	50	0%	0%	High	89	4.44	26.16																	
consórcio apartamento	BRL	50	0%	0%	High	86	2.98	15.65																	
melhor consorcio imovel	BRL	50	∞	∞	High	86																			
consorcio para imovel	BRL	50	-100%	-100%	Unknown																				
carta contemplada imovel	BRL	50	0%	0%	High	90	1.29	8.17																	
consórcio de imóveis caixa	BRL	50	0%	0%	High	73	1.13	6.03																	
embracon consorcio	BRL	50	0%	0%	Medium	38	1.32	9.97																	
consorcio imobiliario porto seguro	BRL	50	0%	0%	Medium	65	2.37	13.76																	
simular consórcio imobiliário	BRL	50	0%	0%	High	86	3.18	13.76																	
consorcio imovel porto seguro	BRL	50	0%	0%	High	86																			
consórcio imobiliário santander	BRL	50	0%	0%	High	83	1.96	11.14																	
consórcio imobiliário vale a pena	BRL	50	0%	0%	High	84	2.06	10.43																	
consórcio de imoveis	BRL	50	0%	0%	High	82	4.10	20.04																	
carta contemplada imóvel	BRL	50	0%	0%	High	90	1.29	8.17																	
consorcio embracon é bom	BRL	50	0%	0%	High	69	1.44	13.07																	
consorcio imovel caixa	BRL	50	0%	0%	High	93	1.01	9.51																	
consorcio terreno	BRL	50	0%	0%	High	81	5.82	16.68																	
porto seguro consórcio imóvel	BRL	50	0%	0%	Unknown																				
consorcio caixa imovel	BRL	50	0%	0%	High	93	1.01	9.51																	
consorcio de imovel vale a pena	BRL	50	0%	0%	High	90	1.77	8.82																	
consorcio para casa	BRL	50	-100%	-100%	Unknown																				
consórcio contemplado imóvel	BRL	50	-100%	-100%	Unknown																				
consórcio imobiliário porto seguro	BRL	50	∞	0%	High	100																			
consorcio embracon é confiavel	BRL	50	0%	0%	Medium	48	1.69	14.79																	
simulador de consórcio imobiliário	BRL	50	0%	0%	High	77	5.13	20.17																	
consorcio casa propria	BRL	50	0%	0%	Unknown																				
carta de credito para imovel	BRL	50	0%	0%	High	91	4.40	12.06																	
consorcio imovel vale a pena	BRL	50	0%	0%	High	76	2.58	10.01																	
consórcio embracon simulação	BRL	50	0%	-100%	Unknown																				
carta de crédito contemplada imóvel caixa econômica	BRL	50	0%	0%	Medium	64	0.94	4.94																	
consórcio para casa	BRL	50	0%	0%	High	84	4.27	14.93																	
consórcio para reforma de imóvel	BRL	50	0%	0%	High	100																			
embracon simulação	BRL	50	0%	0%	Medium	57	5.24	30.82																	
consorcio imovel simulação	BRL	50	0%	0%	High	96	6.19	17.99																	
consórcio imobiliário itaú	BRL	50	0%	0%	High	93																			
carta de consorcio imovel	BRL	50	-100%	-100%	Unknown																				
consórcio imobiliário bradesco	BRL	50	0%	0%	High	86																			
consórcio para imóveis	BRL	50	0%	0%	High	85	6.89	19.90																	
itau consorcio imovel	BRL	50	0%	0%	Medium	60	2.36	10.13																	
consorcio embracon imoveis	BRL	50	-100%	0%	Unknown																				
consórcio de casas como funciona	BRL	50	0%	-100%	Unknown																				
embracon administradora de consórcio ltda	BRL	50	0%	0%	High	75	1.61	3.28																	
consorcio de terreno	BRL	50	0%	0%	High	100																			
consórcio casa própria	BRL	50	0%	0%	Medium	43																			
simulador embracon	BRL	50	0%	0%	Medium	57	5.24	30.82																	
consorcio imovel contemplado	BRL	50	∞	∞	High	90	2.76	6.44																	
consórcio para construção de imóvel	BRL	50	∞	0%	High	93																			
consórcio de imóveis como funciona	BRL	50	0%	0%	High	77	1.06	4.85																	
consorcio para compra de imoveis	BRL	50	-100%	-100%	Unknown																				
simulador consorcio embracon	BRL	50	0%	0%	High	89	3.65	25.01																	
consórcio de imóveis vale a pena	BRL	50	0%	0%	High	89	2.07	6.76																	
consórcio santander imóvel	BRL	50	-100%	0%	Unknown																				
consorcio imobiliario contemplado	BRL	50	0%	-100%	Unknown																				
consorcio caixa imoveis	BRL	50	0%	0%	High	93	1.01	9.51																	
consorcio imovel 500 mil	BRL	50	0%	∞	High	96	4.69	19.78																	
carta de credito imovel contemplada	BRL	50	0%	0%	High	67	1.64	5.12																	
consórcio de imóveis porto seguro	BRL	50	0%	0%	High	76	3.60	10.15																	
consorcio 150 mil	BRL	50	0%	0%	High	86																			
consorcio para reforma de imovel	BRL	50	0%	0%	Unknown																				
simulação consorcio imovel	BRL	50	0%	0%	High	96	6.19	17.99																	
carta de crédito imóvel simulação	BRL	50	0%	0%	Unknown																				
consorcio imovel 400 mil	BRL	50	∞	0%	Medium	43																			
consorcio santander imoveis	BRL	50	0%	0%	Unknown																				
porto seguro consórcio imobiliário	BRL	50	0%	0%	Medium	65	2.37	13.76																	
porto consorcio imovel	BRL	50	0%	0%	High	71																			
consórcio para comprar imóvel	BRL	50	0%	0%	Unknown																				
consorcio terreno e construção	BRL	50	0%	∞	High	100																			
consórcio imovel porto seguro	BRL	50	0%	0%	High	81	2.78	8.57																	
carta consorcio imovel	BRL	50	-100%	0%	Unknown																				
consorcio imovel santander	BRL	50	∞	0%	High	79																			
consorcio imovel 1 milhao	BRL	50	0%	0%	High	71																			
consórcio imobiliário como funciona	BRL	50	0%	0%	High	80	2.08	4.64																	
carta de crédito como funciona imóvel	BRL	50	0%	0%	Medium	64																			
consorcio imovel 200 mil	BRL	50	0%	0%	Unknown																				
carta de credito embracon	BRL	50	0%	0%	High	79																			
simulação de consorcio de imoveis	BRL	50	-100%	-100%	Unknown																				
consórcio de casas banco do brasil	BRL	50	-100%	0%	Unknown																				
consorcio imoveis caixa	BRL	50	0%	0%	High	93	1.01	9.51																	
simulação consorcio embracon	BRL	50	0%	0%	High	100																			
carta credito imovel	BRL	50	-100%	0%	Unknown																				
consorcio para apartamento	BRL	50	∞	0%	High	100																			
consorcio casas	BRL	50	0%	0%	High	84	4.27	14.93																	
comprar carta contemplada imovel	BRL	50	0%	0%	High	93																			
consorcio de imoveis contemplados	BRL	50	0%	0%	High	86																			
embracon carta de crédito	BRL	50	0%	0%	High	80	2.50	29.70																	
carta de consorcio contemplada imovel	BRL	50	-100%	0%	Unknown																				
consorcio imovel 300 mil	BRL	50	0%	-100%	Unknown																				
consórcio imobiliário magalu	BRL	50	0%	0%	Unknown																				
consorcio apartamento vale a pena	BRL	50	-100%	0%	Unknown																				
consórcio imóvel rural	BRL	50	0%	∞	High	100																			
consorcio de imovel contemplado	BRL	50	0%	-100%	Unknown																				
consorcio de imoveis qual o melhor	BRL	50	0%	0%	High	91	4.16	14.74																	
embracon telefone	BRL	50	0%	0%	Low	25	0.42	2.65																	
melhor consorcio para imovel	BRL	50	-100%	0%	Unknown																				
consorcio de casas valores	BRL	0	0%	0%	Unknown																				
carta de crédito contemplada imóvel itaú	BRL	50	0%	0%	Unknown																				
embracon consorcio imovel	BRL	50	∞	0%	Medium	57																			
